year,month,open ,high,low,close,volume
2017,12,170.8,171.85,169.22,169.23,96281679
2017,12,174.88,177.2,173.25,175.01,115320238
2017,12,169.2,174.17,168.79,173.97,132453689
2017,12,172.48,172.62,166.46,169.37,134914322
2017,12,175.05,175.08,167.16,171.05,166555527
2017,11,170.29,175.5,169.56,174.97,79873651
2017,11,173.5,174.5,168.38,170.15,114281964
2017,11,172.365,176.24,171.72,174.67,136260721
2017,11,163.89,174.26,163.72,172.5,203892677
2017,10,156.89,163.6,155.27,163.05,119574587
2017,10,157.9,160.87,155.02,156.25,124593299
2017,10,155.81,158,155.1,156.99,80597481
2017,10,154.26,155.49,152.46,155.3,91971974
2017,9,149.99,154.7189,149.16,154.12,152105993
2017,9,160.11,160.5,150.56,151.89,182738115
2017,9,160.5,163.96,157.91,159.88,217839085
2017,9,163.75,164.25,158.53,158.63,100402255
2017,9,160.14,164.94,159.93,164.05,124482489
2017,8,157.5,160.74,155.1101,159.86,110686493
2017,8,159.32,162.51,156.72,157.5,130951564
2017,8,157.06,161.83,154.63,157.48,148310594
2017,8,149.9,159.75,148.13,156.39,159721244
2017,7,150.58,153.99,147.3,149.5,103916337
2017,7,148.82,151.74,148.57,150.27,103297255
2017,7,144.11,149.33,143.37,149.04,107844162
2017,7,144.88,145.3,142.41,144.18,76896820
2017,6,147.17,148.28,142.28,144.02,125310202
2017,6,143.66,147.16,143.66,146.28,121757322
2017,6,145.74,147.5,142.2,142.27,217066551
2017,6,154.34,155.98,146.02,148.98,93152454
2017,6,153.42,155.45,152.22,155.45,86663811
2017,5,154,154.9,152.67,153.61,101565411
2017,5,156.01,156.65,149.71,153.06,154981942
2017,5,149.03,156.42,149.03,156.1,167770544
2017,5,145.1,148.98,144.27,148.96,167777285
2017,4,143.5,144.9,143.18,143.65,89143525
2017,4,141.48,142.92,140.45,142.27,89248503
2017,4,143.6,143.8792,140.06,141.05,87485653
2017,4,143.71,145.46,143.05,143.34,105402499
2017,3,139.39,144.5,138.62,143.66,127008757
2017,3,140.4,142.8,139.73,140.64,129673979
2017,3,138.85,141.02,138.82,139.99,121539506
2017,3,139.365,139.98,137.05,139.14,99672282
2017,3,137.14,140.2786,136.28,139.78,127936976
2017,2,136.23,137.48,135.28,136.66,87908859
2017,2,133.08,136.27,132.75,135.72,136667496
2017,2,129.13,132.94,128.9,132.12,136449154
2017,2,120.93,130.49,120.62,129.08,249781248
2017,1,120,122.44,119.5,121.95,124748449
2017,1,118.34,120.5,118.22,120,116347987
2017,1,117.95,119.93,117.94,119.04,138810760
2017,1,115.8,118.16,114.76,117.91,103845468
2016,12,116.52,118.0166,115.43,115.82,84828531
2016,12,115.8,117.5,115.59,116.52,113322891
2016,12,113.29,116.73,112.49,115.97,195015700
2016,12,110,114.7,108.25,113.95,151989664
2016,12,111.43,112.465,108.85,109.9,155499850
2016,11,110.12,112.42,110.01,111.79,94132421
2016,11,107.71,110.54,104.08,110.06,198341456
2016,11,110.08,111.72,105.83,108.43,207268979
2016,11,113.65,114.23,108.11,108.84,156346518
2016,10,117.1,118.36,113.31,113.72,210225569
2016,10,117.33,118.21,113.8,116.6,115531434
2016,10,115.02,118.69,114.72,117.63,208708383
2016,10,112.71,114.56,112.28,114.06,126029440
2016,9,111.64,114.64,111.55,113.05,156384035
2016,9,115.19,116.18,111.55,112.71,201095635
2016,9,102.65,116.13,102.53,114.92,390309366
2016,9,107.9,108.76,103.13,103.13,168803729
2016,9,106.62,108,105.5,107.73,133000624
2016,8,108.86,109.32,106.31,106.94,123605519
2016,8,108.14,110.23,108.08,109.36,132371408
2016,8,107.52,108.94,107.16,108.18,124505869
2016,8,104.41,107.65,104,107.48,170149120
2016,7,98.25,104.55,96.42,104.21,256571090
2016,7,98.7,101,98.31,98.66,147565456
2016,7,96.75,99.3,96.73,98.78,142910566
2016,7,95.39,96.89,94.37,96.68,112705961
2016,7,93,96.465,91.5,95.89,185461004
2016,6,96,96.89,92.65,93.4,206728924
2016,6,98.69,99.12,95.3,95.33,191732699
2016,6,97.99,101.89,97.55,98.83,124864375
2016,6,99.6,100.4,96.63,97.92,140176985
2016,5,95.87,100.73,95.67,100.35,204473324
2016,5,92.39,95.43,91.65,95.22,212707154
2016,5,93,93.77,89.47,90.52,216049836
2016,5,93.965,95.9,91.85,92.72,225607242
2016,4,105,105.65,92.51,93.74,349424063
2016,4,108.89,108.95,104.62,105.68,189053016
2016,4,108.97,112.39,108.66,109.85,162310051
